group,year,total,level,attainment,count
"35 to 54 Years, Both Sexes",1962,45287,College: 4 years or more,College Degree,4253
"35 to 54 Years, Both Sexes",1960,44742,Elementary: 0 to 4 years,Less than High School,2424
"35 to 54 Years, Both Sexes",1960,44742,Elementary: 5 to 8 years,Less than High School,12536
"35 to 54 Years, Both Sexes",1960,44742,High School: 1 to 3 years,Less than High School,9502
"35 to 54 Years, Both Sexes",1960,44742,High School: 4 years,High School,12517
"35 to 54 Years, Both Sexes",1960,44742,College: 1 to 3 years,Some College,4123
"35 to 54 Years, Both Sexes",1960,44742,College: 4 years or more,College Degree,3639
"35 to 54 Years, Both Sexes",1959,43989,Elementary: 0 to 4 years,Less than High School,2303
"35 to 54 Years, Both Sexes",1959,43989,Elementary: 5 to 8 years,Less than High School,11657
"35 to 54 Years, Both Sexes",1959,43989,High School: 1 to 3 years,Less than High School,8719
"35 to 54 Years, Both Sexes",1959,43989,High School: 4 years,High School,13244
"35 to 54 Years, Both Sexes",1959,43989,College: 1 to 3 years,Some College,3715
"35 to 54 Years, Both Sexes",1959,43989,College: 4 years or more,College Degree,3709
"35 to 54 Years, Both Sexes",1957,42645,Elementary: 0 to 4 years,Less than High School,2658
"35 to 54 Years, Both Sexes",1957,42645,Elementary: 5 to 8 years,Less than High School,12349
"35 to 54 Years, Both Sexes",1957,42645,High School: 1 to 3 years,Less than High School,8384
"35 to 54 Years, Both Sexes",1957,42645,High School: 4 years,High School,12041
"35 to 54 Years, Both Sexes",1957,42645,College: 1 to 3 years,Some College,3248
"35 to 54 Years, Both Sexes",1957,42645,College: 4 years or more,College Degree,3360
"35 to 54 Years, Both Sexes",1952,39014,Elementary: 0 to 4 years,Less than High School,2606
"35 to 54 Years, Both Sexes",1952,39014,Elementary: 5 to 8 years,Less than High School,13274
"35 to 54 Years, Both Sexes",1952,39014,High School: 1 to 3 years,Less than High School,7348
"35 to 54 Years, Both Sexes",1952,39014,High School: 4 years,High School,9374
"35 to 54 Years, Both Sexes",1952,39014,College: 1 to 3 years,Some College,3148
"35 to 54 Years, Both Sexes",1952,39014,College: 4 years or more,College Degree,2802
"35 to 54 Years, Both Sexes",1950,38432,Elementary: 0 to 4 years,Less than High School,3404
"35 to 54 Years, Both Sexes",1950,38432,Elementary: 5 to 8 years,Less than High School,14420
"35 to 54 Years, Both Sexes",1950,38432,High School: 1 to 3 years,Less than High School,6976
"35 to 54 Years, Both Sexes",1950,38432,High School: 4 years,High School,7262
"35 to 54 Years, Both Sexes",1950,38432,College: 1 to 3 years,Some College,2878
"35 to 54 Years, Both Sexes",1950,38432,College: 4 years or more,College Degree,2516
"35 to 54 Years, Both Sexes",1947,36717,Elementary: 0 to 4 years,Less than High School,3203
"35 to 54 Years, Both Sexes",1947,36717,Elementary: 5 to 8 years,Less than High School,15184
"35 to 54 Years, Both Sexes",1947,36717,High School: 1 to 3 years,Less than High School,6311
"35 to 54 Years, Both Sexes",1947,36717,High School: 4 years,High School,6715
"35 to 54 Years, Both Sexes",1947,36717,College: 1 to 3 years,Some College,2622
"35 to 54 Years, Both Sexes",1947,36717,College: 4 years or more,College Degree,2221
"35 to 54 Years, Both Sexes",1940,33845,Elementary: 0 to 4 years,Less than High School,4549
"35 to 54 Years, Both Sexes",1940,33845,Elementary: 5 to 8 years,Less than High School,16270
"35 to 54 Years, Both Sexes",1940,33845,High School: 1 to 3 years,Less than High School,4972
"35 to 54 Years, Both Sexes",1940,33845,High School: 4 years,High School,4217
"35 to 54 Years, Both Sexes",1940,33845,College: 1 to 3 years,Some College,1836
"35 to 54 Years, Both Sexes",1940,33845,College: 4 years or more,College Degree,1540
"35 to 54 Years, Male",2022,41464,Elementary: 0 to 4 years,Less than High School,385
"35 to 54 Years, Male",2022,41464,Elementary: 5 to 8 years,Less than High School,1156
"35 to 54 Years, Male",2022,41464,High School: 1 to 3 years,Less than High School,2435
"35 to 54 Years, Male",2022,41464,High School: 4 years,High School,12187
"35 to 54 Years, Male",2022,41464,College: 1 to 3 years,Some College,9620
"35 to 54 Years, Male",2022,41464,College: 4 years or more,College Degree,15680
"35 to 54 Years, Male",2021,40238,Elementary: 0 to 4 years,Less than High School,393
"35 to 54 Years, Male",2021,40238,Elementary: 5 to 8 years,Less than High School,1219
"35 to 54 Years, Male",2021,40238,High School: 1 to 3 years,Less than High School,2321
"35 to 54 Years, Male",2021,40238,High School: 4 years,High School,11446
"35 to 54 Years, Male",2021,40238,College: 1 to 3 years,Some College,9406
"35 to 54 Years, Male",2021,40238,College: 4 years or more,College Degree,15453
"35 to 54 Years, Male",2020,39591,Elementary: 0 to 4 years,Less than High School,393
"35 to 54 Years, Male",2020,39591,Elementary: 5 to 8 years,Less than High School,1110
"35 to 54 Years, Male",2020,39591,High School: 1 to 3 years,Less than High School,2385
"35 to 54 Years, Male",2020,39591,High School: 4 years,High School,11048
"35 to 54 Years, Male",2020,39591,College: 1 to 3 years,Some College,9479
"35 to 54 Years, Male",2020,39591,College: 4 years or more,College Degree,15176
"35 to 54 Years, Male",2019,40180,Elementary: 0 to 4 years,Less than High School,388
"35 to 54 Years, Male",2019,40180,Elementary: 5 to 8 years,Less than High School,1202
"35 to 54 Years, Male",2019,40180,High School: 1 to 3 years,Less than High School,2690
"35 to 54 Years, Male",2019,40180,High School: 4 years,High School,11688
"35 to 54 Years, Male",2019,40180,College: 1 to 3 years,Some College,9863
"35 to 54 Years, Male",2019,40180,College: 4 years or more,College Degree,14348
"35 to 54 Years, Male",2018,40411,Elementary: 0 to 4 years,Less than High School,356
"35 to 54 Years, Male",2018,40411,Elementary: 5 to 8 years,Less than High School,1182
"35 to 54 Years, Male",2018,40411,High School: 1 to 3 years,Less than High School,2657
"35 to 54 Years, Male",2018,40411,High School: 4 years,High School,11753
"35 to 54 Years, Male",2018,40411,College: 1 to 3 years,Some College,9991
"35 to 54 Years, Male",2018,40411,College: 4 years or more,College Degree,14472
"35 to 54 Years, Male",2017,40303,Elementary: 0 to 4 years,Less than High School,395
"35 to 54 Years, Male",2017,40303,Elementary: 5 to 8 years,Less than High School,1305
"35 to 54 Years, Male",2017,40303,High School: 1 to 3 years,Less than High School,2711
"35 to 54 Years, Male",2017,40303,High School: 4 years,High School,12032
"35 to 54 Years, Male",2017,40303,College: 1 to 3 years,Some College,10026
"35 to 54 Years, Male",2017,40303,College: 4 years or more,College Degree,13834
"35 to 54 Years, Male",2016,40539,Elementary: 0 to 4 years,Less than High School,443
"35 to 54 Years, Male",2016,40539,Elementary: 5 to 8 years,Less than High School,1336
"35 to 54 Years, Male",2016,40539,High School: 1 to 3 years,Less than High School,2903
"35 to 54 Years, Male",2016,40539,High School: 4 years,High School,12021
"35 to 54 Years, Male",2016,40539,College: 1 to 3 years,Some College,10217
"35 to 54 Years, Male",2016,40539,College: 4 years or more,College Degree,13620
"35 to 54 Years, Male",2015,40565,Elementary: 0 to 4 years,Less than High School,469
"35 to 54 Years, Male",2015,40565,Elementary: 5 to 8 years,Less than High School,1416
"35 to 54 Years, Male",2015,40565,High School: 1 to 3 years,Less than High School,2987
"35 to 54 Years, Male",2015,40565,High School: 4 years,High School,12401
"35 to 54 Years, Male",2015,40565,College: 1 to 3 years,Some College,9996
"35 to 54 Years, Male",2015,40565,College: 4 years or more,College Degree,13296
"35 to 54 Years, Male",2014,40525,Elementary: 0 to 4 years,Less than High School,489
"35 to 54 Years, Male",2014,40525,Elementary: 5 to 8 years,Less than High School,1459
"35 to 54 Years, Male",2014,40525,High School: 1 to 3 years,Less than High School,2992
"35 to 54 Years, Male",2014,40525,High School: 4 years,High School,12246
"35 to 54 Years, Male",2014,40525,College: 1 to 3 years,Some College,10199
"35 to 54 Years, Male",2014,40525,College: 4 years or more,College Degree,13139
"35 to 54 Years, Male",2013,40868,Elementary: 0 to 4 years,Less than High School,409
"35 to 54 Years, Male",2013,40868,Elementary: 5 to 8 years,Less than High School,1464
"35 to 54 Years, Male",2013,40868,High School: 1 to 3 years,Less than High School,2962
"35 to 54 Years, Male",2013,40868,High School: 4 years,High School,12417
"35 to 54 Years, Male",2013,40868,College: 1 to 3 years,Some College,10473
"35 to 54 Years, Male",2013,40868,College: 4 years or more,College Degree,13142
"35 to 54 Years, Male",2012,41167,Elementary: 0 to 4 years,Less than High School,462
"35 to 54 Years, Male",2012,41167,Elementary: 5 to 8 years,Less than High School,1525
"35 to 54 Years, Male",2012,41167,High School: 1 to 3 years,Less than High School,2927
"35 to 54 Years, Male",2012,41167,High School: 4 years,High School,12869
"35 to 54 Years, Male",2012,41167,College: 1 to 3 years,Some College,10439
"35 to 54 Years, Male",2012,41167,College: 4 years or more,College Degree,12944
"35 to 54 Years, Male",2011,41209,Elementary: 0 to 4 years,Less than High School,447
"35 to 54 Years, Male",2011,41209,Elementary: 5 to 8 years,Less than High School,1292
"35 to 54 Years, Male",2011,41209,High School: 1 to 3 years,Less than High School,3027
"35 to 54 Years, Male",2011,41209,High School: 4 years,High School,13250
"35 to 54 Years, Male",2011,41209,College: 1 to 3 years,Some College,10339
"35 to 54 Years, Male",2011,41209,College: 4 years or more,College Degree,12854
"35 to 54 Years, Male",2010,41858,Elementary: 0 to 4 years,Less than High School,446
"35 to 54 Years, Male",2010,41858,Elementary: 5 to 8 years,Less than High School,1367
"35 to 54 Years, Male",2010,41858,High School: 1 to 3 years,Less than High School,3227
"35 to 54 Years, Male",2010,41858,High School: 4 years,High School,13824
"35 to 54 Years, Male",2010,41858,College: 1 to 3 years,Some College,10311
"35 to 54 Years, Male",2010,41858,College: 4 years or more,College Degree,12682
"35 to 54 Years, Male",2009,42263,Elementary: 0 to 4 years,Less than High School,500
"35 to 54 Years, Male",2009,42263,Elementary: 5 to 8 years,Less than High School,1458
"35 to 54 Years, Male",2009,42263,High School: 1 to 3 years,Less than High School,3278
"35 to 54 Years, Male",2009,42263,High School: 4 years,High School,13644
"35 to 54 Years, Male",2009,42263,College: 1 to 3 years,Some College,10670
"35 to 54 Years, Male",2009,42263,College: 4 years or more,College Degree,12713
"35 to 54 Years, Male",2008,42419,Elementary: 0 to 4 years,Less than High School,507
"35 to 54 Years, Male",2008,42419,Elementary: 5 to 8 years,Less than High School,1490
"35 to 54 Years, Male",2008,42419,High School: 1 to 3 years,Less than High School,3228
"35 to 54 Years, Male",2008,42419,High School: 4 years,High School,13625
"35 to 54 Years, Male",2008,42419,College: 1 to 3 years,Some College,10711
"35 to 54 Years, Male",2008,42419,College: 4 years or more,College Degree,12858
"35 to 54 Years, Male",2007,42476,Elementary: 0 to 4 years,Less than High School,491
"35 to 54 Years, Male",2007,42476,Elementary: 5 to 8 years,Less than High School,1433
"35 to 54 Years, Male",2007,42476,High School: 1 to 3 years,Less than High School,3480
"35 to 54 Years, Male",2007,42476,High School: 4 years,High School,13737
"35 to 54 Years, Male",2007,42476,College: 1 to 3 years,Some College,10359
"35 to 54 Years, Male",2007,42476,College: 4 years or more,College Degree,12976
"35 to 54 Years, Male",2006,42344,Elementary: 0 to 4 years,Less than High School,549
"35 to 54 Years, Male",2006,42344,Elementary: 5 to 8 years,Less than High School,1472
"35 to 54 Years, Male",2006,42344,High School: 1 to 3 years,Less than High School,3356
"35 to 54 Years, Male",2006,42344,High School: 4 years,High School,13660
"35 to 54 Years, Male",2006,42344,College: 1 to 3 years,Some College,10608
"35 to 54 Years, Male",2006,42344,College: 4 years or more,College Degree,12701
"35 to 54 Years, Male",2005,42024,Elementary: 0 to 4 years,Less than High School,547
"35 to 54 Years, Male",2005,42024,Elementary: 5 to 8 years,Less than High School,1476
"35 to 54 Years, Male",2005,42024,High School: 1 to 3 years,Less than High School,3063
"35 to 54 Years, Male",2005,42024,High School: 4 years,High School,14017
"35 to 54 Years, Male",2005,42024,College: 1 to 3 years,Some College,10429
"35 to 54 Years, Male",2005,42024,College: 4 years or more,College Degree,12491
"35 to 54 Years, Male",2004,41612,Elementary: 0 to 4 years,Less than High School,577
"35 to 54 Years, Male",2004,41612,Elementary: 5 to 8 years,Less than High School,1323
"35 to 54 Years, Male",2004,41612,High School: 1 to 3 years,Less than High School,3157
"35 to 54 Years, Male",2004,41612,High School: 4 years,High School,13238
"35 to 54 Years, Male",2004,41612,College: 1 to 3 years,Some College,10636
"35 to 54 Years, Male",2004,41612,College: 4 years or more,College Degree,12682
"35 to 54 Years, Male",2003,41340,Elementary: 0 to 4 years,Less than High School,538
"35 to 54 Years, Male",2003,41340,Elementary: 5 to 8 years,Less than High School,1372
"35 to 54 Years, Male",2003,41340,High School: 1 to 3 years,Less than High School,3282
"35 to 54 Years, Male",2003,41340,High School: 4 years,High School,12903
"35 to 54 Years, Male",2003,41340,College: 1 to 3 years,Some College,10622
"35 to 54 Years, Male",2003,41340,College: 4 years or more,College Degree,12622
"35 to 54 Years, Male",2002,41154,Elementary: 0 to 4 years,Less than High School,513
"35 to 54 Years, Male",2002,41154,Elementary: 5 to 8 years,Less than High School,1333
"35 to 54 Years, Male",2002,41154,High School: 1 to 3 years,Less than High School,3063
"35 to 54 Years, Male",2002,41154,High School: 4 years,High School,13133
"35 to 54 Years, Male",2002,41154,College: 1 to 3 years,Some College,10739
"35 to 54 Years, Male",2002,41154,College: 4 years or more,College Degree,12373
"35 to 54 Years, Male",2001,40858,Elementary: 0 to 4 years,Less than High School,488
"35 to 54 Years, Male",2001,40858,Elementary: 5 to 8 years,Less than High School,1368
"35 to 54 Years, Male",2001,40858,High School: 1 to 3 years,Less than High School,2974
"35 to 54 Years, Male",2001,40858,High School: 4 years,High School,12784
"35 to 54 Years, Male",2001,40858,College: 1 to 3 years,Some College,10827
"35 to 54 Years, Male",2001,40858,College: 4 years or more,College Degree,12417
"35 to 54 Years, Male",2000,40024,Elementary: 0 to 4 years,Less than High School,479
"35 to 54 Years, Male",2000,40024,Elementary: 5 to 8 years,Less than High School,1288
"35 to 54 Years, Male",2000,40024,High School: 1 to 3 years,Less than High School,2845
"35 to 54 Years, Male",2000,40024,High School: 4 years,High School,12845
"35 to 54 Years, Male",2000,40024,College: 1 to 3 years,Some College,10716
"35 to 54 Years, Male",2000,40024,College: 4 years or more,College Degree,11854
"35 to 54 Years, Male",1999,39300,Elementary: 0 to 4 years,Less than High School,470
"35 to 54 Years, Male",1999,39300,Elementary: 5 to 8 years,Less than High School,1290
"35 to 54 Years, Male",1999,39300,High School: 1 to 3 years,Less than High School,3101
"35 to 54 Years, Male",1999,39300,High School: 4 years,High School,12544
"35 to 54 Years, Male",1999,39300,College: 1 to 3 years,Some College,10233
"35 to 54 Years, Male",1999,39300,College: 4 years or more,College Degree,11664
"35 to 54 Years, Male",1998,38654,Elementary: 0 to 4 years,Less than High School,486
"35 to 54 Years, Male",1998,38654,Elementary: 5 to 8 years,Less than High School,1333
"35 to 54 Years, Male",1998,38654,High School: 1 to 3 years,Less than High School,3284
"35 to 54 Years, Male",1998,38654,High School: 4 years,High School,12239
"35 to 54 Years, Male",1998,38654,College: 1 to 3 years,Some College,10098
"35 to 54 Years, Male",1998,38654,College: 4 years or more,College Degree,11214
"35 to 54 Years, Male",1997,37912,Elementary: 0 to 4 years,Less than High School,486
"35 to 54 Years, Male",1997,37912,Elementary: 5 to 8 years,Less than High School,1370
"35 to 54 Years, Male",1997,37912,High School: 1 to 3 years,Less than High School,3143
"35 to 54 Years, Male",1997,37912,High School: 4 years,High School,12326
"35 to 54 Years, Male",1997,37912,College: 1 to 3 years,Some College,9713
